product_name,description,how_it_fits,composition_care,sale_price,color,images
Levi's® WellThread® Women's Soft Straight Orchard Trousers,"Levi's® WellThread® is a collection designed at the intersection of sustainability and innovation. Classic product with timeless design, carefully crafted to be reused or recycled.Our Orchard Trousers feature a flattering mid rise, a wide-leg fit and a loose cut through the seat and thigh.
Part of Levi’s® WellThread®: a collection designed at the intersection of sustainability and innovation
Soft wide-leg...
Read more","Non-stretch; Zip fly; Non 5 Pocket; Wide leg; Inseam: 29 1/2"",Leg opening: 21"",Measurements based on size 27 waist; Model is 5'7"" with a 26"" waist. They're wearing a size 26"" x S"".","100% Cotton (Transitional); Machine Wash Cold, Do Not Bleach, Tumble Dry Medium, Warm Iron If Needed, Dry Cleaning Possible, Wash Inside Out With Like Colors; Organic cotton","3,190 ฿",['Soft Ceramic'],https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_DA_b40c6b00-fdb1-4048-9f38-b727bcd56627.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_LE_FV_1be2e7d1-08c4-411c-9e4e-4680b67f4a3d.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_BV_7a22c925-6b5d-4cae-9c0d-d7f5123a81cd.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_LE_BV_5660f3e7-2c25-49cc-ac29-b4a3c781167e.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_FV_bed67719-ccd2-4d0f-b959-f4da0915f429.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_FA_b2abed3e-6c6b-43a4-b74a-8476aaaf5c18.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_SV_99195c91-155c-45f1-8376-5754c9ffa0ff.jpg?v=1723722914&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-soft-straight-orchard-trousers-a75500000_EAS_PS_ON_D1_57baa5fd-b006-4c07-826e-555578a45d33.jpg?v=1723722914&width=416
Levi's® Women's Heritage Micro Tote,"Meet the perfect on-the-go bag. Our Heritage Micro Tote features a mini size, a roomy interior and two top handles.
The perfect on-the-go bag
Features a mini size
With two top handles","Snap; Model is 6'2"" with a 31"" waist. They're wearing a size 31 x 32.",100% Cotton; Do Not Wash,"1,190 ฿","['Ecru', 'Rinse Blue']",https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_FV_1b0b7bd6-88e2-4886-bcb5-7aab8a23ab10.jpg?v=1723722341&width=416; https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_BV_ec140d9f-fd15-4dae-96ba-6078de2b01fe.jpg?v=1723722341&width=416; https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_D1_52b31f13-1b2a-43d5-b53e-45072bbbc436.jpg?v=1723722341&width=416
Levi's® Women's Tailored Vest,"This vintage-inspired Tailored Vest is bound to be your go-to layer. We made it with an easy, standard fit, an adjustable cinch at the back and a clean button-up front.
A vintage-inspired vest
Cut with an standard fit
Features a tailored design
With an adjustable cinch in the back",Non-Stretch; Sleeveless,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","1,890 ฿",['Ermine'],https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_ON_FV_8289797b-fe25-44cc-8428-db18956a2bcc.jpg?v=1728045319&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_ON_BV_e1748b04-2e5d-4159-a15c-8b3e184a1319.jpg?v=1728045319&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_ON_DA_00894ea7-0017-4154-9b2b-f82bed71e200.jpg?v=1728045319&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_ON_D1_7f8a4b69-f117-4674-a18f-03ca93326f23.jpg?v=1728045319&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_LD_FV_69283dbe-07bd-4f83-aeb9-12eeb2ece214.jpg?v=1728045319&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A9503-0002_EAS_PS_LD_BV_d26df91c-94b2-427d-8c46-b2648483b7b0.jpg?v=1728045319&width=416
Levi's® Men's 501® Original Shorts,"We've been doing our thing since 1873, so we know a thing or two about making jeans in all their forms—including the first-ever jeans shorts (A.K.A. these). These 501® Original Shorts are a versatile staple that feature a vintage-inspired fit and the button fly you expect from 501® jeans.","Stretch; The original straight fit shorts; A blank canvas for customization and self-expression; All-American style; Made with Comfort Stretch which features a hint of stretch for all-day comfort; Model is 6'2"" with a 29"" waist. They're wearing a size medium.","99% cotton, 1% elastane (LYCRA®); Machine wash cold - normal cycle. wash inside out with like colors, do not bleach, tumble dry medium, warm iron, dry clean possible","2,090 ฿","['To The Millenium Short', '9am On Battery Short', '5pm In The Mission Shorts']",https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_1_ON_DA.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_2_ON_BV.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_3_ON_SV.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_4_ON_FV.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_5_ON_FA.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_7_ON_D1.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_15_LE_FV.jpg?v=1714372910&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-shorts-365120235_25_LE_A1.jpg?v=1714372910&width=416
Levi's® Women's Ribcage Wide-Leg Tailored Jeans,"As if our Ribcage jeans couldn't get any better—meet our Ribcage Wide-Leg Tailored jeans. The leggy look of the '70s and a '90s-inspired rise come together to create the perfect proportion. With a soaring 12.75-inch rise, they're about to become your waist-defining, leg-lengthening obsession.
Our Ribcage jeans you know and love, now with a wide-leg cut
Made with a super...
Read more","Non-stretch; Zip fly; Non 5 Pocket; Wide leg; Inseam: 32"",Leg opening: 22"",Measurements based on size 27 waist","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","3,490 ฿","['Chasing Rain', 'Slick Streets']",https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_DA_407fea7e-3113-4a73-afe2-e040ebae61b1.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_BV_023bd2c5-6a30-4aab-b7f3-53dffa6c53c2.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_SV_bccd3e4a-c521-4c39-885b-f86badd1cdda.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_FV_11b6e8d5-e700-44e7-a745-88636c18487f.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_D1_2fc2064b-b986-4f1c-af6e-a4bb42116631.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_ON_D2_facc08df-4b1e-4a0b-923b-fe8ded513c67.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_LD_FV_2252321d-a176-42e5-b14a-b4c94acbdb0b.jpg?v=1728045033&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8735-0002_EAS_PS_LD_D1_1be5c977-b208-414e-955f-cd638a0ecb56.jpg?v=1728045033&width=416
Levi's® Men's Heavyweight Pocket T-Shirt,"Because you can't wrong with a timeless pocket tee. We took a relaxed fit, a classic crew neckline and a single pocket with our signature tab and rolled it into this versatile Pocket T-Shirt.
A classic pocket tee
Cut with a relaxed fit
Features a single chest pocket with our signature red tab",Crewneck; Short Sleeve,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","1,390 ฿","['Bright White', 'Mineral Black', 'Andorra']",https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0000_EAS_PS_ON_FV.jpg?v=1729747391&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0000_EAS_PS_ON_BV.jpg?v=1729747393&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0000_EAS_PS_LD_FV.jpg?v=1729747395&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0000_EAS_PS_LD_D1.jpg?v=1729747396&width=416
Levi's® Women's Reese Military Jacket,"A utilitarian-inspired layer to keep you warm on the move. Our Reese Military Jacket features an adjustable hood and hem, a zip-up front and two handy patch pockets.
A utilitarian-inspired jacket
Cut with a standard fit
Features an adjustable hood and hem
With a zip-up front and two patch pockets",Long Sleeve,"100% Cotton; Machine wash cold delicate cycle, Do not bleach, Tumble dry low, Cool iron if needed, Do not dry clean, Wash with like colors","3,490 ฿","[""Don't Slow Down"", 'Unbasic Khaki']",https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_ON_FV_89f03c29-4c83-41d1-b92e-87d6e9771d5e.jpg?v=1728045228&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_ON_BV_c2798e5a-7749-466c-8727-d2947911020b.jpg?v=1728045228&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_ON_DA_f56b5e02-0014-432b-a43d-16cbad8f5d42.jpg?v=1728045228&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_ON_D1_464137d6-d930-4cfa-90a6-e5d7fad461ea.jpg?v=1728045228&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_LD_FV_8fac5665-dde6-493d-9254-f7ce9d83058d.jpg?v=1728045228&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8512-0001_EAS_PS_LD_D1_9c07070b-5a1e-4459-8787-46205139ec0c.jpg?v=1728045228&width=416
Levi's® Women's '94 Baggy Bootcut Jeans,"Big jeans were synonymous with the nineties, but no matter the decade, it's been proven that these '94 Baggy Bootcut jeans will never go out of style. They’re effortless, cool and feature a mid rise and bootcut leg, making whatever you pair them with look just that much better.
A vintage-inspired fit updated with a mid rise
With a baggy...
Read more","Non-Stretch; Zip fly; 5-pocket styling; Boot Cut; Inseam: 31"",Leg opening: 21"",Measurements based on size 27 waist","95% Cotton, 5% Recycled Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors; Recycled cotton","2,890 ฿","['Smile For Real', 'Paradise Found', 'Abraided Art']",https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_ON_FV_45f02211-8979-41b6-967a-66fcc6d7eb6e.jpg?v=1728044972&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_ON_BV_24f09395-da4b-46d5-bb38-6617f16794d9.jpg?v=1728044972&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_ON_SV_446b9e91-5f31-4a01-873d-924968d7c98c.jpg?v=1728044972&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_ON_D2_4461737c-c212-4874-9d9e-6ee1bb30323b.jpg?v=1728044972&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_LD_FV_ef3e21d6-a331-449e-8720-88f5cf3b25d1.jpg?v=1728044972&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8716-0006_EAS_PS_LD_D1_f91a53de-d2f4-4cf0-bff1-d04f230a2885.jpg?v=1728044972&width=416
Levi’s® Men’s Destination T-Shirt,"With soft jersey and a bold Levi's® logo, this Destination T-Shirt is the perfect way to  remember that incredible visit.","The essential destination tee, reimagined through an unmistakably Levi's® lens; Crafted from supersoft jersey; Features a bold graphic across the front; Model is 6'2"" with a 30"" waist. They're wearing a size medium.","100% cotton; Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Warm Iron If Needed, Do Not Dry Clean, Wash Inside Out With Like Colors, Do Not Iron Decoration",990 ฿,['Thailand Arch Mineral Black'],https://levi.co.th/cdn/shop/files/levis-mens-destination-t-shirt-219450364_1_ON_DA.jpg?v=1713354345&width=416; https://levi.co.th/cdn/shop/files/levis-mens-destination-t-shirt-219450364_2_ON_BV.jpg?v=1713354345&width=416; https://levi.co.th/cdn/shop/files/levis-mens-destination-t-shirt-219450364_4_ON_FV.jpg?v=1713354345&width=416
Levi's® Men's 502™ Taper Jeans,"Meet our most versatile fit—our 502™ Taper jeans. Cut on the slimmer side (but still roomy enough for comfort) with a streamlined, tapered leg, they’re a more refined, modern alternative to straight jeans and a universal favorite across builds. They look great both cuffed and uncuffed, and go with pretty much any shoes, so whip out the sneakers, combat boots...
Read more","Stretch; Zip fly; 5-pocket styling; Tapered Leg; Front rise: 10 3/4"",Knee: 17"",Leg opening: 14 1/2"",Measurements based on size 32; Model is 6.2"", Waist 31"", Wearing size 31 x 32","70% Cotton, 28% Lyocell (Lenzing TENCEL™ Lyocell), 2% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Midnight Rinse Cool', 'Future Self Adv', 'Rosefinch', ""Davie Ivy Levi's® Flex""]",https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_ON_FV_20a89022-bda6-44c0-8518-1c663a2335e2.jpg?v=1735574020&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_ON_SV_a48c7481-5238-452d-b468-277955fa70af.jpg?v=1735574020&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_ON_BV_916bedcf-ffd1-4626-ab92-0871ef581a43.jpg?v=1735574020&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_ON_D2_e7f099bd-be45-4a53-95d1-b7302a81a8d5.jpg?v=1735574020&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_LD_FV_981013b0-59e6-4411-9d2b-2c15b1e0d534.jpg?v=1735574020&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_29507-1478_EAS_PS_LD_D1_1059d4fa-2706-4ac4-b206-01339040137a.jpg?v=1735574017&width=416
Levi's® Women's Ribcage Wide-Leg Jeans,"As if our Ribcage jeans couldn't get any better—meet our Ribcage Wide-Leg jeans. The tailored, leggy look of the '70s and a '90s-inspired super high rise come together to create the perfect proportion to show off the rise and define your waistline. With a soaring 12-inch rise, they're about to become your waist-defining, leg-lengthening obsession.
Our Ribcage jeans you know...
Read more","Non-Stretch; Zip fly; 5-pocket styling; Wide leg; Inseam: 32"",Leg opening: 22"",Measurements based on size 27 waist; Model is 5'9"" with a 24"" waist. They're wearing a size 24"" x 32"".","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors; MMC lyocell","3,490 ฿","['Barely Freezing', 'Splash Zone']",https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_DA_ef69e6b9-f7b2-480b-94df-0cb9e7f3b94e.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_BV_0537e3c0-cfd1-4664-b7f8-5dd503608b06.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_FA_730b1033-9899-403c-8fc3-77f8c6b9b062.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_SV_f052aa05-b8c9-46c0-ad17-6f82af1e7a92.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_D1_897a0f30-bd59-4dec-89c1-781b134cbfb2.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_ON_FV_bf742c1a-1b91-4d29-b8dc-485810518429.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_LE_FV_555ec67f-7f68-43b9-bb65-c9c65e93a446.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_LE_A1_1834b422-b6c6-4bdd-9a86-2a643499c50d.jpg?v=1732005829&width=416; https://levi.co.th/cdn/shop/files/levis-womens-ribcage-wide-leg-jeans-24_H1_WB_A6081-0005_EAS_PS_LE_D8_5d68b71a-276c-48c5-8ff7-8e6399aa4ec0.jpg?v=1732005829&width=416
Levi's® Men's Red Tab™ Vintage T-Shirt,"We found this Levi's® garment in a vintage shop and loved it so much that we decided to revive it for the 21st century. With supersoft 100% cotton jersey and a relaxed fit, this Red Tab™ Vintage T-Shirt is the essential tee at its very finest.
A revival of a vintage shop find
Made with heavier jersey for a premium...
Read more","Crewneck; Model is 6'1"", Waist 32"", Wearing size medium; Short Sleeve","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Color may transfer when new. wash before wearing, Wash inside out with like colors","1,190 ฿","['White', 'Mineral Black', 'Dress Blues Garment Dye Dress Blues', 'Tbd31', 'Tbd24', 'Tbd25', 'Stones Throw Mineral Wash Silent Storm', 'Stones Throw Mineral Wash Infinity', 'Break Stripe Porridge Heather', 'Tbd15']",https://levi.co.th/cdn/shop/files/MT_A0637-0135_EAS_PS_ON_DA_d1241999-c402-4096-8f0c-13e7aee01b7f.jpg?v=1735276060&width=416; https://levi.co.th/cdn/shop/files/MT_A0637-0135_EAS_PS_ON_BV_c9a27cd8-6230-44bf-9c9c-94fb892114d2.jpg?v=1735276060&width=416; https://levi.co.th/cdn/shop/files/MT_A0637-0135_EAS_PS_ON_FV_ebbc29c7-edbd-4d76-b74a-07ae9db6946f.jpg?v=1735276060&width=416; https://levi.co.th/cdn/shop/files/MT_A0637-0135_EAS_PS_ON_D1_e8b9801b-968c-41b1-905e-119c2f67d860.jpg?v=1735276060&width=416
Levi's® Men's 2-Horse Graphic T-shirt,"The perfect base for any outfit. This tee's got it all—soft jersey, a timeless silhouette and one of the most iconic logos in the game.
Made to go with any Levi's® jeans
Crafted with soft jersey for all-day comfort
The essential tee, perfected","Non-stretch; Standard fit; Crewneck; Short sleeves; Model is 6.2"" with a 31"" waist. They're wearing a size medium.","100% Cotton; Wash and dry inside out with like colors, preferably with a liquid detergent",790 ฿,"['Mineral Black', 'White', 'Heather Grey']",https://levi.co.th/cdn/shop/files/levis-mens-2-horse-graphic-t-shirt-224950047_1_ON_FV.jpg?v=1713354584&width=416; https://levi.co.th/cdn/shop/files/levis-mens-2-horse-graphic-t-shirt-224950047_2_ON_BV.jpg?v=1713354584&width=416
Levi's® Men's Relaxed Fit Short-Sleeve Graphic T-Shirt,"Jeans and a tee—name a more iconic duo, we’ll wait. Made with an easy fit, this Relaxed Fit Short Sleeve Graphic T-Shirt features signature graphics for an unmistakably Levi's® touch.
An everyday short-sleeve T-shirt
Made with a streetwear-inspired relaxed fit","Crewneck; Short Sleeve; Model is 6'1"" with a 28"" waist. They're wearing a size 28 x 32.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Do not dry clean, Wash inside out with like colors, Do not iron decoration","1,190 ฿","['Varsity Logo Patch Autumn Blaze', 'Varsity Logo Patch Bistro Green', 'Ssnl Core Hl Logo Baked Apple', 'Arched Levi Strauss Light Htr Grey / Myrtle', '16143-1589 Bright White']",https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_ON_DA_3489d019-8330-44f1-855e-fd5a8d4cd744.jpg?v=1728044643&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_ON_BV_231d5ca8-9724-4ea8-9c11-b679940db523.jpg?v=1728044643&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_ON_FV_fb71e7fc-9665-462b-9faf-403683a65a9d.jpg?v=1728044643&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_ON_D1_a2221beb-e3cf-4dab-bcb0-6a3b599f51fb.jpg?v=1728044643&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_LD_FV_f58c5a43-c219-44d9-b0f1-e9e3781cc8ae.jpg?v=1728044643&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_16143-1588_EAS_PS_LD_D1_e3033910-9a0f-4f12-8097-c65feb9817dd.jpg?v=1728044643&width=416
Levi's® Men's Heavyweight Pocket T-Shirt,"Because you can't wrong with a timeless pocket tee. We took a relaxed fit, a classic crew neckline and a single pocket with our signature tab and rolled it into this versatile Pocket T-Shirt.
A classic pocket tee
Cut with a relaxed fit
Features a single chest pocket with our signature red tab",Crewneck; Short Sleeve,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","1,390 ฿","['Bright White', 'Mineral Black', 'Andorra']",https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0001_EAS_PS_ON_FV.jpg?v=1729747519&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0001_EAS_PS_ON_BV.jpg?v=1729747519&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0001_EAS_PS_LD_FV.jpg?v=1729747521&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_A8605-0001_EAS_PS_LD_D1.jpg?v=1729747524&width=416
Levi's® Women's 721 High-Rise Skinny Utility Jeans,"Like our 720 High-Rise Super Skinny, but a little less skinny at the leg. These 721 High-Rise Skinny Utility jeans are designed with same form-flattering fit you love with a figure-hugging 10-inch rise and utility pockets. Part of our signature ‘Lot 700’ fits, these jeans are designed to flatter—all day, every day.
A versatile fit with a flattering high rise
...
Read more","Stretch; Zip fly; Non 5 Pocket; Skinny Leg; Model is 5'7' with a 26"" waist. They're wearing a size 26"" x 28"".","80% Cotton, 19% Polyester, 1% LYCRA®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors; Water‹Less®","2,590 ฿","['Light Of My Life', 'Magical Dreams']",https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_ON_FV_2355a20f-7bec-4640-9a79-a0261de47b8e.jpg?v=1728044936&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_ON_BV_1821529b-f0c2-4c6f-b510-cd4af380d41e.jpg?v=1728044936&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_ON_SV_f317f4b3-1aba-4900-8ac6-45b501ec1921.jpg?v=1728044936&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_ON_D2_f7bee519-d7a8-4ede-84a5-e9f34b1e9237.jpg?v=1728044936&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_LD_FV_67fbadc1-aa75-4ebb-bf6d-eb468ac854df.jpg?v=1728044936&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A7521-0003_EAS_PS_LD_D1_36d9fa62-ca93-4a5b-9947-5766ef8d23a7.jpg?v=1728044936&width=416
Levi's® Men's Relaxed Dad Cap,"Whether you're dadcore, normcore or actually going to a baseball game, this eternally stylish Relaxed Dad Cap will do the trick. We made it with durable cotton and gave it a laidback fit.
A laidback cap
With a pre-curved brim",Buckle,100% COTTON; Hand Wash,990 ฿,"['Dull Red', 'Ecru']",https://levi.co.th/cdn/shop/files/000A9-0018_EAS_PS_LD_FV_82f8fd0e-8dea-435d-b308-b41ba26d3aec.jpg?v=1735291567&width=416; https://levi.co.th/cdn/shop/files/000A9-0018_EAS_PS_LD_BV_a4f23812-8254-4f93-b1b1-e6fd55967915.jpg?v=1735291567&width=416
Levi's® Women's 312 Shaping Slim Jeans,"It's all in the name. Our supportive, soft 312 Shaping Slim jeans lengthen your legs, hug your curves and celebrate your features. Plus, they're designed with a built-in front panel that smooths and supports.
Super-comfortable jeans with a flattering slim leg
Made to flatter your figure and celebrate your form
Designed with a built-in tummy panel that flatters, smooths and...
Read more","Stretch; Zip fly; 5-pocket styling; Shapes Through The Hip And Thigh; Inseam: 30"",Leg opening: 13"",Measurements based on size 27 waist; Model is 5'9"", Waist 24"", Wearing size 25 x 30","80% Cotton, 19% Polyester, 1% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Soft Black', 'Darkest Sky', 'Give It A Try', 'Olive Night Twill', 'Cool Planet Blue', 'Working Late', 'Cool View', 'Working Harder']",https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_ON_FV_3eb533f8-2020-4e34-b2fc-8aaabb3b0d30.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_ON_BV_0c10ea2d-4261-43c9-9a1c-aa68cb5d723f.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_ON_SV_fbaf0a64-cae0-4d8a-b30e-9d9f218c7fc8.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_ON_D2_118397b0-38bf-4dfc-a9cd-5ff691e38a65.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_LD_FV_8fb42c90-6273-471e-a1f5-c2efee4ec5e7.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_LD_BV_2c886750-4ba7-4104-b83c-98f224605f3b.jpg?v=1735525215&width=416; https://levi.co.th/cdn/shop/files/WB_19627-0263_EAS_PS_LD_D1_021f6fca-e21d-454e-834b-3cf9ffdcdf27.jpg?v=1735525215&width=416
